id,accuracy,f1,auc,n_leaves,depth,features_used,fi_median,fi_median_hr,fi_rmssd,fi_mean_tonic_eda,fi_mean_phasic_eda,fi_std_eda,fi_mean_temperature,fi_min_temperature,max_depth,min_samples_leaf,criterion,max_features,random_state
0,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,0
1,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,1
2,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,2
3,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,3
4,0.995,0.996825,0.988372,3,2,mean_tonic_eda|min_temperature,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0,0.0768706651059592,2,5,gini,,4
5,0.995,0.996825,0.988372,3,2,mean_tonic_eda|min_temperature,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0,0.0768706651059592,2,5,gini,,5
6,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,6
7,0.995,0.996825,0.988372,3,2,mean_tonic_eda|min_temperature,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0,0.0768706651059592,2,5,gini,,7
8,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,8
9,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,9
10,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,10
11,0.995,0.996825,0.988372,3,2,mean_temperature|mean_tonic_eda,0.0,0.0,0.0,0.9231293348940408,0.0,0.0,0.0768706651059592,0.0,2,5,gini,,11
